"X","RMS.CDW.ID","General.Offense.Number","Offense.Code","Offense.Code.Extension","Offense.Type","Summary.Offense.Code","Summarized.Offense.Description","Date.Reported","Occurred.Date.or.Date.Range.Start","Occurred.Date.Range.End","Hundred.Block.Location","District.Sector","Zone.Beat","Census.Tract.2000","Longitude","Latitude","Location","Month","Year","Neighborhood"
230748,1296180,2017374239,"2404",1,"VEH-THEFT-AUTO","2400","VEHICLE THEFT","10/08/2017 07:16:00 AM","10/07/2017 06:00:00 PM","10/08/2017 07:15:00 AM","46XX BLOCK OF S HOLDEN ST","S","S2","11101.3002",-122.273979187,47.533660889,"(47.533660889, -122.273979187)",10,2017,"Brighton"
230749,1296181,2017374506,"2303",0,"THEFT-SHOPLIFT","2300","SHOPLIFTING","10/08/2017 03:04:00 PM","10/08/2017 12:00:00 PM","10/08/2017 01:00:00 PM","15XX BLOCK OF BROADWAY","E","E2","8400.1007",-122.320793152,47.614654541,"(47.614654541, -122.320793152)",10,2017,"Capitol Hill"
230750,1296182,2017909178,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","10/09/2017 10:59:00 AM","10/08/2017 05:00:00 PM","10/08/2017 06:55:00 PM","N 63 ST / W GREEN LAKE WY N","B","B3","4600.1009",-122.345596313,47.674152374,"(47.674152374, -122.345596313)",10,2017,"Green Lake"
230751,1296183,2017376081,"2399",3,"THEFT-OTH","2300","OTHER PROPERTY","10/09/2017 07:10:00 PM","10/09/2017 10:40:00 AM","10/09/2017 10:52:00 AM","29XX BLOCK OF W EATON ST","Q","Q1","5600.5043",-122.394989014,47.633026123,"(47.633026123, -122.394989014)",10,2017,"Magnolia"
230752,1296184,2017375771,"2606",1,"FRAUD-CHECK","2600","FRAUD","10/09/2017 09:33:00 PM","09/21/2017 09:33:00 PM","","8XX BLOCK OF 23 AV","C","C3","8800.1024",-122.302764893,47.609519958,"(47.609519958, -122.302764893)",10,2017,"Garfield"
230753,1296185,2017375389,"5707",0,"TRESPASS","5700","TRESPASS","10/09/2017 09:07:00 AM","10/09/2017 09:07:00 AM","","1XX BLOCK OF MERCER ST","Q","Q3","7000.3021",-122.354751587,47.624576569,"(47.624576569, -122.354751587)",10,2017,"Uptown"
230754,1296186,2017909176,"2903",0,"PROPERTY DAMAGE-NON RESIDENTIA","2900","PROPERTY DAMAGE","10/09/2017 06:27:00 AM","10/08/2017 09:30:00 PM","10/09/2017 06:10:00 AM","TERRACE ST / TERRY AV","G","G1","8500.2015",-122.322341919,47.604587555,"(47.604587555, -122.322341919)",10,2017,"First Hill"
230755,1296187,2017909175,"2316",0,"THEFT-MAIL","2300","MAIL THEFT","10/09/2017 12:54:00 PM","10/09/2017 12:45:00 PM","10/09/2017 12:45:00 PM","125XX BLOCK OF 27 AV NE","L","L1","200.2015",-122.299095154,47.720207214,"(47.720207214, -122.299095154)",10,2017,"Olympic Hills"
230756,1294957,2017371264,"1305",0,"ASSLT-AGG-WEAPON","1300","ASSAULT","10/06/2017 05:27:00 AM","10/06/2017 05:27:00 AM","","5 AV S / S KING ST","K","K3","9100.2003",-122.327674866,47.59835434,"(47.59835434, -122.327674866)",10,2017,"International District"
230758,1294959,2017909066,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","10/05/2017 01:51:00 PM","10/05/2017 03:40:00 AM","10/05/2017 04:00:00 AM","44XX BLOCK OF SW ATLANTIC ST","W","W1","9600.5028",-122.388015747,47.590625763,"(47.590625763, -122.388015747)",10,2017,"Admiral"
230760,1294961,2017371109,"2999",0,"PROPERTY DAMAGE - GRAFFITI","2900","PROPERTY DAMAGE","10/05/2017 11:25:00 PM","10/05/2017 11:25:00 PM","","2XX BLOCK OF 5 AV S","K","K3","9200.1007",-122.327659607,47.600452423,"(47.600452423, -122.327659607)",10,2017,"International District"
230761,1294962,2017373097,"2404",1,"VEH-THEFT-AUTO","2400","VEHICLE THEFT","10/07/2017 10:17:00 AM","10/05/2017 10:17:00 AM","10/07/2017 09:00:00 AM","30XX BLOCK OF SW 102 ST","W","W3","12000.1016",-122.371437073,47.511936188,"(47.511936188, -122.371437073)",10,2017,"Arbor Heights"
230762,1294963,2017372867,"2203",0,"BURGLARY-FORCE-NONRES","2200","BURGLARY","10/07/2017 03:14:00 AM","10/07/2017 03:00:00 AM","","12XX BLOCK OF 4 AV","M","M3","8100.2020",-122.334541321,47.607872009,"(47.607872009, -122.334541321)",10,2017,"Downtown"
230763,1294964,2017372906,"5015",2,"WARRARR-MISDEMEANOR","5000","WARRANT ARREST","10/07/2017 07:08:00 AM","10/07/2017 07:08:00 AM","","1 AV S / S SPOKANE ST","O","O1","9300.3061",-122.334197998,47.571704865,"(47.571704865, -122.334197998)",10,2017,"Industrial District"
