"City.Feature","Common.Name","Address","Website","Longitude","Latitude","Location","Neighborhood"
"Parks","Bergen Place","","http://www.seattle.gov/parks/park_detail.asp?ID=253",-122.384495,47.66833,"(47.66833, -122.384495)","Ballard"
"Parks","Kubota Gardens Natural Area","","http://www.seattle.gov/parks/park_detail.asp?ID=262",-122.267366,47.511157,"(47.511157, -122.267366)","Rainier Beach"
"Parks","Longfellow Creek Greenspace","","http://www.seattle.gov/parks/park_detail.asp?ID=267",-122.363435,47.530167,"(47.530167, -122.363435)","South Delridge"
"Parks","Me-Kwa-Mooks Natural Area","","http://www.seattle.gov/parks/park_detail.asp?ID=268",-122.403424,47.563782,"(47.563782, -122.403424)","Alki"
"Parks","Pipers Creek Natural Area","600 NW 117TH ST","http://www.seattle.gov/parks/park_detail.asp?ID=275",-122.364699,47.714678,"(47.714678, -122.364699)","Broadview"
"Parks","Mock Creek Ravine","","http://www.seattle.gov/parks/park_detail.asp?ID=277",-122.28962,47.699037,"(47.699037, -122.28962)","Matthews Beach"
"Parks","Northeast Queen Anne Greenbelt","","http://www.seattle.gov/parks/park_detail.asp?ID=279",-122.345011,47.635866,"(47.635866, -122.345011)","East Queen Anne"
"Parks","West Duwamish Greenbelt","","http://www.seattle.gov/parks/park_detail.asp?ID=282",-122.356966,47.563271,"(47.563271, -122.356966)","North Delridge"
"Parks","Licton Springs Park","","http://www.seattle.gov/parks/park_detail.asp?ID=286",-122.338736,47.698541,"(47.698541, -122.338736)","North College Park"
"Parks","Sturtevant Ravine","","http://www.seattle.gov/parks/park_detail.asp?ID=290",-122.268561,47.51783,"(47.51783, -122.268561)","Rainier Beach"
"Parks","Mineral Springs Park","1500 N 105TH STREET","http://www.seattle.gov/parks/park_detail.asp?ID=291",-122.336528,47.705755,"(47.705755, -122.336528)","North College Park"
"Parks","Gas Works Park","","http://www.seattle.gov/parks/park_detail.asp?ID=293",-122.334908,47.645638,"(47.645638, -122.334908)","Wallingford"
"Parks","Cormorant Cove","","http://www.seattle.gov/parks/park_detail.asp?ID=295",-122.412089,47.570984,"(47.570984, -122.412089)","Alki"
"Parks","Little Brook Park","","http://www.seattle.gov/parks/park_detail.asp?ID=297",-122.294567,47.731387,"(47.731387, -122.294567)","Olympic Hills"
"Parks","Orchard Street Ravine","39TH SW / SW ORCHARD ST","http://www.seattle.gov/parks/park_detail.asp?ID=300",-122.380151,47.538315,"(47.538315, -122.380151)","Gatewood"
"Parks","Llandover Woods Greenspace","","http://www.seattle.gov/parks/park_detail.asp?ID=301",-122.364545,47.733024,"(47.733024, -122.364545)","Broadview"
"Parks","Carleton Center","","http://www.seattle.gov/parks/park_detail.asp?ID=305",-122.406385,47.639414,"(47.639414, -122.406385)","Magnolia"
"Parks","City Hall Park","","http://www.seattle.gov/parks/park_detail.asp?ID=306",-122.329875,47.602022,"(47.602022, -122.329875)","Downtown"
"Parks","Commodore Park","3330 W COMMODORE WAY","http://www.seattle.gov/parks/park_detail.asp?ID=308",-122.40014,47.66538,"(47.66538, -122.40014)","Interbay"
"Parks","Denny Park","","http://www.seattle.gov/parks/park_detail.asp?ID=309",-122.341049,47.61913,"(47.61913, -122.341049)","South Lake Union"
"Parks","Myrtle Edwards Park","","http://www.seattle.gov/parks/park_detail.asp?ID=311",-122.36087,47.618767,"(47.618767, -122.36087)","Interbay"
"Parks","Freeway Park","","http://www.seattle.gov/parks/park_detail.asp?ID=312",-122.330904,47.609472,"(47.609472, -122.330904)","First Hill"
"Parks","Kinnear Park","","http://www.seattle.gov/parks/park_detail.asp?ID=314",-122.367205,47.627316,"(47.627316, -122.367205)","West Queen Anne"
"Parks","Kinnear Place","","http://www.seattle.gov/parks/park_detail.asp?ID=315",-122.356978,47.626151,"(47.626151, -122.356978)","Lower Queen Anne"
"Parks","Lawton Park","","http://www.seattle.gov/parks/park_detail.asp?ID=316",-122.391157,47.655064,"(47.655064, -122.391157)","Magnolia"
"Parks","Magnolia Park","","http://www.seattle.gov/parks/park_detail.asp?ID=317",-122.397348,47.633427,"(47.633427, -122.397348)","Magnolia"
"Parks","Marshall Park","","http://www.seattle.gov/parks/park_detail.asp?ID=320",-122.366805,47.629436,"(47.629436, -122.366805)","West Queen Anne"
"Parks","Mayfair Park","","http://www.seattle.gov/parks/park_detail.asp?ID=321",-122.353356,47.643241,"(47.643241, -122.353356)","North Queen Anne"
"Parks","B.F. Day Playground","4020 Fremont Ave N","http://www.seattle.gov/parks/park_detail.asp?ID=241",-122.349221502422,47.6560301481679,"(47.6560301481679, -122.349221502422)","Fremont"
"Parks","Gilman Playground","923 NW 54th St","http://www.seattle.gov/parks/park_detail.asp?ID=242",-122.369684036369,47.66729167168,"(47.66729167168, -122.369684036369)","West Woodland"
"Parks","Ross Playground","4320 4th Ave NW","http://www.seattle.gov/parks/park_detail.asp?ID=248",-122.361346842948,47.6597179137182,"(47.6597179137182, -122.361346842948)","Fremont"
"Parks","Sandel Playground","9053 1st Ave NW","http://www.seattle.gov/parks/park_detail.asp?ID=250",-122.358700739135,47.6951336977073,"(47.6951336977073, -122.358700739135)","Greenwood"
"Parks","Soundview Playfield","1590 NW 90th St","http://www.seattle.gov/parks/park_detail.asp?ID=251",-122.378878432525,47.6954157512333,"(47.6954157512333, -122.378878432525)","Olympic Manor"
